Country,Clicks,Impressions,CTR,Position
United Kingdom,0,158,0%,47.15
United States,0,58,0%,6.78
Germany,0,5,0%,7.2
Norway,0,4,0%,9
Brazil,0,3,0%,4.33
Austria,0,3,0%,5.67
Netherlands,0,3,0%,5.67
Canada,0,3,0%,7
Ukraine,0,3,0%,7
France,0,2,0%,1.5
Lithuania,0,2,0%,3
Romania,0,2,0%,7
Czechia,0,1,0%,2
Hong Kong,0,1,0%,2
Mexico,0,1,0%,2
Malaysia,0,1,0%,2
Belgium,0,1,0%,4
Bulgaria,0,1,0%,5
Spain,0,1,0%,5
South Korea,0,1,0%,5
Venezuela,0,1,0%,6
Argentina,0,1,0%,8
Chile,0,1,0%,9
Nigeria,0,1,0%,9
Saudi Arabia,0,1,0%,9
Thailand,0,1,0%,9
Finland,0,1,0%,10
Singapore,0,1,0%,10
Italy,0,1,0%,12
Latvia,0,1,0%,12
Ireland,0,1,0%,43
Croatia,0,1,0%,48
New Zealand,0,1,0%,88
